nodeName	altName	nodeAttr[nodesPresent, ]
Schil_g5758	NA	blue
Schil_g23864	NA	blue
Schil_g11964	NA	blue
Schil_g36612	NA	turquoise
Schil_g1909	NA	turquoise
Schil_g31579	NA	turquoise
Schil_g20557	NA	turquoise
Schil_g12050	NA	blue
Schil_g25369	NA	blue
Schil_g39118	NA	turquoise
Schil_g12213	NA	blue
Schil_g28041	NA	blue
Schil_g39121	NA	blue
Schil_g5757	NA	turquoise
Schil_g24637	NA	turquoise
Schil_g25911	NA	blue
Schil_g9695	NA	blue
Schil_g9653	NA	blue
Schil_g31380	NA	turquoise
Schil_g25743	NA	blue
Schil_g12624	NA	blue
Schil_g12844	NA	turquoise
Schil_g12293	NA	turquoise
Schil_g36694	NA	blue
Schil_g31605	NA	blue
Schil_g18577	NA	blue
Schil_g28043	NA	blue
Schil_g21265	NA	blue
Schil_g19881	NA	turquoise
Schil_g14477	NA	blue
Schil_g21255	NA	turquoise
Schil_g14164	NA	blue
Schil_g24756	NA	turquoise
Schil_g20350	NA	blue
Schil_g36679	NA	turquoise
Schil_g1033	NA	blue
Schil_g6379	NA	blue
Schil_g25223	NA	blue
Schil_g36488	NA	blue
Schil_g25548	NA	turquoise
Schil_g24321	NA	turquoise
Schil_g1029	NA	turquoise
Schil_g21267	NA	blue
Schil_g9715	NA	turquoise
Schil_g21731	NA	blue
Schil_g24638	NA	blue
Schil_g5678	NA	turquoise
Schil_g20866	NA	turquoise
Schil_g35493	NA	turquoise
Schil_g25848	NA	blue
Schil_g1416	NA	blue
Schil_g17614	NA	blue
Schil_g28005	NA	blue
Schil_g20280	NA	blue
Schil_g9271	NA	blue
Schil_g25040	NA	blue
Schil_g31342	NA	turquoise
Schil_g9140	NA	blue
Schil_g23399	NA	turquoise
Schil_g9751	NA	blue
Schil_g9139	NA	turquoise
Schil_g303	NA	blue
Schil_g31585	NA	turquoise
Schil_g24634	NA	blue
Schil_g9137	NA	turquoise
Schil_g14732	NA	blue
Schil_g9071	NA	blue
Schil_g9651	NA	blue
Schil_g35097	NA	blue
Schil_g25587	NA	blue
Schil_g27909	NA	blue
Schil_g3032	NA	turquoise
Schil_g36086	NA	turquoise
Schil_g23274	NA	blue
Schil_g27753	NA	turquoise
Schil_g25094	NA	blue
Schil_g211	NA	turquoise
Schil_g16851	NA	blue
Schil_g15787	NA	blue
Schil_g14615	NA	blue
Schil_g12225	NA	blue
Schil_g17933	NA	blue
Schil_g11820	NA	turquoise
Schil_g20582	NA	turquoise
Schil_g22820	NA	turquoise
Schil_g34899	NA	turquoise
Schil_g23562	NA	blue
Schil_g10381	NA	blue
Schil_g493	NA	blue
Schil_g6370	NA	turquoise
Schil_g11918	NA	turquoise
Schil_g4834	NA	turquoise
Schil_g20485	NA	turquoise
Schil_g36181	NA	blue
Schil_g19697	NA	turquoise
Schil_g6943	NA	blue
Schil_g6127	NA	blue
Schil_g6200	NA	blue
Schil_g18608	NA	blue
Schil_g6371	NA	turquoise
Schil_g20539	NA	turquoise
Schil_g22065	NA	turquoise
Schil_g15338	NA	turquoise
Schil_g27732	NA	blue
Schil_g9458	NA	blue
Schil_g680	NA	turquoise
Schil_g22067	NA	turquoise
Schil_g8577	NA	turquoise
Schil_g4999	NA	turquoise
Schil_g241	NA	turquoise
Schil_g24560	NA	blue
Schil_g6063	NA	blue
Schil_g9634	NA	blue
Schil_g1417	NA	blue
Schil_g4910	NA	blue
Schil_g25751	NA	blue
Schil_g9533	NA	blue
Schil_g1378	NA	blue
Schil_g20602	NA	blue
Schil_g24072	NA	blue
Schil_g33785	NA	turquoise
Schil_g5726	NA	turquoise
Schil_g28245	NA	turquoise
